Time (s),Fig3A(Mi9-On),Fig3A(Tm3-On),Fig3A(Mi1-On),Fig3A(Mi4-On),Fig3A(C3-On),Fig3A(Mi9-Off),Fig3A(Tm3-Off),Fig3A(Mi1-Off),Fig3A(Mi4-Off),Fig3A(C3-Off),Fig2A(Tm3-On-1),Fig2A(Mi1-On-1),Fig2A(Tm3-On-2),Fig2A(Mi1-On-2),Fig2A(Tm3-On-3),Fig2A(Mi1-On-3),Fig2B(Tm1-Off-1),Fig2B(Tm2-Off-1),Fig2B(Tm1-Off-2),Fig2B(Tm2-Off-2),Fig2B(Tm1-Off-3),Fig2B(Tm2-Off-3),Fig4b(Mi1-on),Fig4b(Tm1-on),Fig3c(Tm9-Off)Direct,Fig3c(Tm9-Off)Invert,Fig3b(Mi1-on),Fig4b(Tm1-off),Fig4b(Tm2-off),Fig4b(Tm3-off) ,FigS6(T2-flash),FigS5(T3-flash),Fig4a(T2-both),Fig4a(T3-both)
0.22,0.95628923,0.8250074,0.3200509,0.78621787,0.5366973,0.06568862,1.6400793,0.8398994,2.5484104,0.21671626,0.8250073,0.32005093,0.8250073,0.32005084,0.8250073,0.32005093,0.35725382,0.1529192,0.35725382,0.1529192,0.35725382,0.1529192,0.960026,0.25137517,0.38720307,0.38720307,0.23506163,0.41744348,0.273617,0.6683152,1.0066042,-0.19555102,1.0066042,-0.19555107
0.2300000000000001,0.9563773,0.8249895,0.32004493,0.7861941,0.53663677,0.06581898,1.6401837,0.83996874,2.548467,0.21667556,0.82498944,0.32004493,0.82498944,0.32004485,0.82498944,0.3200449,0.3572562,0.1529145,0.3572562,0.1529145,0.3572562,0.15291446,0.943574,0.2505139,0.38722646,0.38722643,0.2464982,0.4081468,0.22767249,0.6967352,1.006366,-0.19558714,1.006366,-0.19558716
0.24,0.95646054,0.82497364,0.3200402,0.7861729,0.5365802,0.06593674,1.6402831,0.84003437,2.5485232,0.21663837,0.8249736,0.3200402,0.8249736,0.32004014,0.82497364,0.3200403,0.35725856,0.15291405,0.35725856,0.15291406,0.35725856,0.15291405,0.92689973,0.24980211,0.38724902,0.387249,0.25378534,0.39803568,0.19849816,0.7179672,1.0061449,-0.19561943,1.0061449,-0.19561945
0.25,0.95653844,0.82495975,0.32003683,0.7861544,0.53652763,0.06604323,1.6403776,0.840096,2.5485785,0.21660438,0.8249597,0.3200369,0.8249597,0.3200368,0.82495975,0.32003692,0.35726088,0.15291649,0.35726085,0.15291652,0.35726085,0.1529165,0.9115119,0.24937198,0.38727027,0.38727027,0.25806952,0.38861427,0.18076567,0.73322153,1.0059423,-0.19564845,1.0059422,-0.1956484
0.26,0.95661086,0.82494766,0.32003477,0.7861388,0.5364789,0.06613981,1.640467,0.8401537,2.5486317,0.21657334,0.82494766,0.3200348,0.82494766,0.32003477,0.82494766,0.32003474,0.35726303,0.15292062,0.357263,0.1529206,0.357263,0.15292059,0.8983904,0.24925354,0.38728994,0.38728994,0.26050046,0.38076246,0.1711685,0.7437843,1.0057594,-0.19567463,1.0057592,-0.19567461
0.27,0.95667773,0.8249373,0.32003376,0.7861257,0.5364338,0.06622765,1.6405516,0.84020776,2.5486822,0.21654499,0.8249372,0.3200338,0.8249373,0.32003376,0.8249372,0.32003373,0.35726494,0.15292524,0.3572649,0.15292521,0.3572649,0.1529252,0.8878727,0.24940693,0.38730785,0.38730788,0.26208726,0.37480244,0.1671842,0.75094336,1.0055964,-0.1956983,1.0055963,-0.19569826
0.28,0.95673907,0.8249284,0.32003373,0.7861151,0.53639215,0.06630784,1.6406311,0.8402583,2.5487292,0.2165191,0.82492834,0.32003376,0.8249284,0.32003364,0.8249284,0.3200337,0.35726655,0.15292954,0.35726652,0.15292954,0.35726652,0.15292954,0.8798903,0.24975288,0.387324,0.38732406,0.26354766,0.37065122,0.16670835,0.7558893,1.0054533,-0.19571963,1.0054533,-0.19571958
0.29,0.9567953,0.82492083,0.32003435,0.7861065,0.5363537,0.06638139,1.6407056,0.8403054,2.5487723,0.21649548,0.82492083,0.32003444,0.82492083,0.32003435,0.82492083,0.3200344,0.3572678,0.1529331,0.3572678,0.15293308,0.3572678,0.15293305,0.87406987,0.25020367,0.38733855,0.38733858,0.2653161,0.36802918,0.16801898,0.75959486,1.0053294,-0.19573882,1.0053293,-0.19573878
0.3,0.9568468,0.82491446,0.3200357,0.7860993,0.53631824,0.066449285,1.6407751,0.8403491,2.5488117,0.21647397,0.82491446,0.32003573,0.82491446,0.32003564,0.82491446,0.3200357,0.35726872,0.1529356,0.35726872,0.15293558,0.35726872,0.15293553,0.8698847,0.25068182,0.38735157,0.38735157,0.26758054,0.36655948,0.16983248,0.7627744,1.0052232,-0.19575587,1.0052232,-0.19575585
0.31,0.956894,0.82490903,0.32003757,0.7860931,0.53628546,0.06651181,1.6408399,0.84038967,2.5488472,0.21645437,0.82490903,0.32003757,0.82490903,0.32003757,0.82490903,0.32003763,0.35726932,0.1529369,0.35726932,0.15293689,0.35726932,0.15293686,0.86679435,0.25113046,0.38736328,0.38736328,0.27033928,0.36583078,0.17305689,0.76588607,1.0051333,-0.19577102,1.0051333,-0.19577101
0.32,0.95693755,0.82490444,0.3200398,0.7860875,0.5362552,0.06656965,1.6409001,0.84042716,2.5488784,0.21643654,0.82490444,0.32003984,0.82490444,0.32003984,0.82490444,0.32003984,0.35726961,0.15293698,0.35726961,0.15293701,0.35726961,0.15293698,0.8643411,0.25151658,0.38737392,0.3873739,0.27343965,0.36550704,0.17664759,0.7691626,1.005058,-0.19578415,1.0050582,-0.19578408
0.33,0.9569777,0.82490057,0.32004243,0.78608227,0.53622717,0.06662316,1.6409558,0.8404625,2.5489063,0.21642032,0.82490057,0.32004246,0.8249005,0.32004237,0.82490057,0.32004243,0.35726967,0.15293601,0.35726967,0.15293603,0.35726967,0.15293597,0.86214036,0.25182852,0.38738358,0.38738358,0.27673036,0.36532474,0.179615,0.77264726,1.0049958,-0.19579554,1.004996,-0.1957954
0.3400000000000001,0.9570149,0.8248972,0.3200452,0.7860772,0.5362012,0.06667274,1.6410075,0.8404953,2.5489311,0.2164056,0.8248972,0.32004523,0.82489717,0.3200452,0.8248972,0.32004523,0.35726956,0.15293407,0.35726956,0.15293406,0.35726956,0.15293406,0.85992813,0.25207123,0.3873924,0.3873924,0.28006008,0.36512646,0.18155204,0.7762931,1.0049449,-0.19580515,1.004945,-0.19580504
0.3500000000000001,0.9570494,0.82489437,0.32004818,0.7860721,0.5361771,0.06671859,1.6410555,0.8405258,2.548953,0.21639225,0.82489437,0.3200482,0.8248943,0.32004824,0.82489437,0.32004824,0.3572693,0.15293126,0.3572693,0.15293126,0.3572693,0.15293124,0.8576613,0.2522631,0.38740054,0.3874005,0.28329766,0.36484227,0.18240665,0.7800058,1.0049037,-0.19581322,1.0049038,-0.19581318
0.36,0.9570816,0.8248919,0.3200513,0.786067,0.53615475,0.06676083,1.6410997,0.8405543,2.5489726,0.21638016,0.8248919,0.32005134,0.82489187,0.32005137,0.8248919,0.32005137,0.3572689,0.15292767,0.3572689,0.15292767,0.3572689,0.15292768,0.8554222,0.25242898,0.38740805,0.38740805,0.2863552,0.36445504,0.18233831,0.78367645,1.0048705,-0.19581994,1.0048707,-0.1958199
0.37,0.9571116,0.8248898,0.32005462,0.7860617,0.53613394,0.06679944,1.6411407,0.8405811,2.5489902,0.21636923,0.8248898,0.32005462,0.8248897,0.3200546,0.8248898,0.3200546,0.35726845,0.15292339,0.35726845,0.1529234,0.35726845,0.15292338,0.8533246,0.2525881,0.38741502,0.387415,0.2891896,0.36397877,0.18160403,0.78721094,1.0048443,-0.19582543,1.0048443,-0.19582538
0.38,0.9571396,0.82488793,0.32005796,0.7860565,0.5361146,0.06683489,1.6411787,0.8406062,2.5490062,0.21635935,0.82488793,0.32005796,0.8248879,0.32005793,0.82488793,0.32005787,0.35726795,0.15291852,0.35726795,0.1529185,0.35726795,0.15291849,0.851489,0.25274986,0.3874215,0.38742146,0.29178017,0.36344418,0.18047515,0.7905452,1.0048237,-0.19582985,1.0048237,-0.19582984
0.39,0.9571657,0.82488626,0.32006133,0.7860513,0.5360965,0.066867106,1.6412141,0.8406296,2.5490212,0.21635044,0.8248863,0.32006133,0.8248862,0.32006136,0.8248863,0.3200613,0.3572674,0.15291303,0.3572674,0.15291302,0.35726744,0.152913,0.84993935,0.25287762,0.38742742,0.38742742,0.2941322,0.36288747,0.17918523,0.79363936,1.0048075,-0.19583334,1.0048076,-0.1958334
0.4,0.95719016,0.82488483,0.3200646,0.78604615,0.53607965,0.066896275,1.6412469,0.84065115,2.5490353,0.2163424,0.8248849,0.3200646,0.8248848,0.32006466,0.82488483,0.32006463,0.35726687,0.152907,0.35726687,0.15290698,0.35726687,0.15290701,0.8486392,0.2529453,0.38743287,0.3874329,0.29626697,0.36234194,0.17790788,0.7964784,1.0047951,-0.19583611,1.0047952,-0.1958362
0.41,0.957213,0.8248835,0.32006794,0.7860411,0.53606385,0.066922665,1.6412776,0.84067136,2.5490482,0.21633518,0.8248836,0.32006794,0.8248835,0.32006797,0.8248836,0.320068,0.3572663,0.15290046,0.3572663,0.15290046,0.3572663,0.15290049,0.84753287,0.2529552,0.38743794,0.38743797,0.2982117,0.36183298,0.17675132,0.799067,1.0047854,-0.19583823,1.0047857,-0.19583832
0.42,0.95723426,0.8248823,0.32007113,0.7860362,0.536049,0.06694648,1.6413059,0.8406903,2.5490606,0.21632868,0.8248824,0.32007113,0.8248824,0.32007128,0.8248824,0.32007125,0.35726574,0.15289354,0.35726574,0.15289356,0.35726574,0.15289354,0.84656346,0.25291657,0.3874426,0.38744262,0.29999414,0.3613762,0.17576459,0.8014227,1.004778,-0.19583985,1.0047781,-0.19583988
0.43,0.95725423,0.82488126,0.32007438,0.7860313,0.53603506,0.066967845,1.6413323,0.84070814,2.549072,0.21632284,0.8248813,0.32007438,0.8248813,0.32007456,0.8248813,0.32007456,0.35726514,0.15288629,0.35726517,0.15288629,0.35726514,0.15288624,0.84568125,0.25284037,0.38744685,0.38744685,0.3016385,0.36097777,0.17495075,0.80356854,1.0047721,-0.19584109,1.0047721,-0.19584106
0.44,0.957273,0.8248803,0.32007754,0.7860268,0.53602195,0.06698712,1.6413567,0.8407245,2.5490828,0.2163176,0.82488036,0.32007763,0.82488036,0.3200777,0.8248803,0.32007778,0.35726458,0.15287869,0.35726458,0.15287869,0.35726458,0.15287863,0.8448505,0.25273687,0.38745075,0.38745075,0.30316344,0.36063644,0.17428291,0.8055284,1.0047672,-0.19584191,1.0047672,-0.19584194
0.45,0.9572906,0.8248794,0.3200807,0.7860223,0.53600955,0.06700451,1.6413795,0.8407398,2.5490928,0.2163129,0.82487947,0.32008076,0.8248794,0.3200807,0.8248794,0.32008085,0.35726398,0.15287085,0.35726398,0.15287083,0.35726398,0.15287077,0.84404993,0.25261468,0.38745436,0.3874544,0.30458277,0.36034578,0.17371953,0.80732405,1.0047628,-0.19584247,1.0047628,-0.19584247
0.4600000000000001,0.95730716,0.8248786,0.3200837,0.78601784,0.5359978,0.06702023,1.6414006,0.840754,2.5491023,0.2163087,0.8248786,0.32008374,0.8248785,0.32008368,0.8248785,0.32008377,0.35726342,0.15286283,0.35726342,0.15286282,0.35726342,0.15286277,0.84327346,0.25248045,0.3874577,0.38745776,0.3059056,0.36009684,0.1732168,0.80897385,1.0047585,-0.19584286,1.0047586,-0.19584289
0.4700000000000001,0.95732284,0.82487774,0.3200865,0.78601354,0.53598666,0.06703422,1.64142,0.84076726,2.549111,0.21630494,0.82487774,0.32008654,0.8248777,0.3200865,0.8248777,0.32008663,0.35726285,0.15285473,0.35726285,0.15285471,0.35726285,0.15285464,0.84252197,0.25233912,0.38746083,0.3874609,0.30713806,0.35988006,0.17273706,0.8104925,1.0047542,-0.19584307,1.0047543,-0.19584304
